Time_Index,Gas-z1,Gas-z2,Gas turbine-z1,Gas turbine-z2,Wind-z1,Wind-z2,Solar-z1,Solar-z2,Nuclear-z1,Nuclear-z2,Coal-z1,Coal-z2
1,1.0,1.0,1.0,1.0,0.763308138,0.686977,0.0,0.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,0.750113883,0.675102,0.0,0.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,0.729198684,0.656279,0.0,0.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,0.694957807,0.625462,0.0,0.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,0.664635076,0.598172,0.0,0.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,0.652681994,0.587414,0.0,0.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,0.654510032,0.589059,0.0,0.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,0.656831793,0.591149,0.033664686,0.030298,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,0.685611835,0.617051,0.269130372,0.242217,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,0.710704834,0.639634,0.423271241,0.380944,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,0.73184699,0.658662,0.405947109,0.365352,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,0.753444744,0.6781,0.385453311,0.346908,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,0.783215495,0.704894,0.415553129,0.373998,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,0.810086679,0.729078,0.49704918,0.447344,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,0.832747843,0.749473,0.510486648,0.459438,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,0.843621487,0.759259,0.215279193,0.193751,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,0.839757786,0.755782,0.00886383,0.007977,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,0.848142109,0.763328,0.0,0.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,0.847643654,0.762879,0.0,0.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,0.840592293,0.756533,0.0,0.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,0.835683266,0.752115,0.0,0.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,0.815284137,0.733756,0.0,0.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,0.792055638,0.71285,0.0,0.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,0.776937487,0.699244,0.0,0.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,0.820802607,0.738722,0.0,0.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,0.789883522,0.710895,0.0,0.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,0.753749588,0.678375,0.0,0.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,0.711332189,0.640199,0.0,0.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,0.665505007,0.598955,0.0,0.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,0.624366282,0.56193,0.0,0.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,0.586426221,0.527784,0.0,0.0,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,0.539233604,0.48531,0.012335571,0.011102,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,0.440360849,0.396325,0.111824686,0.100642,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0,0.305368134,0.274831,0.211002772,0.189902,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0,0.225098663,0.202589,0.228242764,0.205418,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0,0.191535356,0.172382,0.219481193,0.197533,1.0,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0,0.188362075,0.169526,0.192389489,0.173151,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,0.224959976,0.202464,0.157232283,0.141509,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,0.308364926,0.277528,0.117894895,0.106105,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0,0.44832671,0.403494,0.059914694,0.053923,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0,0.592127681,0.532915,0.005248365,0.004724,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0,0.686716827,0.618045,0.0,0.0,1.0,1.0,1.0,1.0
43,1.0,1.0,1.0,1.0,0.741557399,0.667402,0.0,0.0,1.0,1.0,1.0,1.0
44,1.0,1.0,1.0,1.0,0.789217585,0.710296,0.0,0.0,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0,0.818236909,0.736413,0.0,0.0,1.0,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0,0.833868817,0.750482,0.0,0.0,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,0.842538233,0.758284,0.0,0.0,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0,0.835800587,0.752221,0.0,0.0,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0,0.294170387,0.264753,0.0,0.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,0.268092116,0.241283,0.0,0.0,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0,0.250329322,0.225296,0.0,0.0,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,1.0,0.242206213,0.217986,0.0,0.0,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0,0.249128385,0.224216,0.0,0.0,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0,0.263513149,0.237162,0.0,0.0,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,0.27580273,0.248222,0.0,0.0,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0,0.282352269,0.254117,0.045739849,0.041166,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0,0.270865607,0.243779,0.20759727,0.186838,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0,0.23452846,0.211076,0.318775797,0.286898,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0,0.205963703,0.185367,0.377176797,0.339459,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,0.18877602,0.169898,0.388770769,0.349894,1.0,1.0,1.0,1.0
61,1.0,1.0,1.0,1.0,0.189577132,0.170619,0.397549377,0.357794,1.0,1.0,1.0,1.0
62,1.0,1.0,1.0,1.0,0.209718966,0.188747,0.402487708,0.362239,1.0,1.0,1.0,1.0
63,1.0,1.0,1.0,1.0,0.24429384,0.219864,0.369885403,0.332897,1.0,1.0,1.0,1.0
64,1.0,1.0,1.0,1.0,0.312626048,0.281363,0.214390889,0.192952,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,0.393469348,0.354122,0.037152369,0.033437,1.0,1.0,1.0,1.0
66,1.0,1.0,1.0,1.0,0.435034757,0.391531,0.0,0.0,1.0,1.0,1.0,1.0
67,1.0,1.0,1.0,1.0,0.459820986,0.413839,0.0,0.0,1.0,1.0,1.0,1.0
68,1.0,1.0,1.0,1.0,0.469260262,0.422334,0.0,0.0,1.0,1.0,1.0,1.0
69,1.0,1.0,1.0,1.0,0.481865898,0.433679,0.0,0.0,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0,0.4973409,0.447607,0.0,0.0,1.0,1.0,1.0,1.0
71,1.0,1.0,1.0,1.0,0.516113785,0.464502,0.0,0.0,1.0,1.0,1.0,1.0
72,1.0,1.0,1.0,1.0,0.530040292,0.477036,0.0,0.0,1.0,1.0,1.0,1.0
73,1.0,1.0,1.0,1.0,0.50111864,0.451007,0.0,0.0,1.0,1.0,1.0,1.0
74,1.0,1.0,1.0,1.0,0.4736287,0.426266,0.0,0.0,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,0.43317298,0.389856,0.0,0.0,1.0,1.0,1.0,1.0
76,1.0,1.0,1.0,1.0,0.424272987,0.381846,0.0,0.0,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0,0.438399476,0.39456,0.0,0.0,1.0,1.0,1.0,1.0
78,1.0,1.0,1.0,1.0,0.44458115,0.400123,0.0,0.0,1.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0,0.451707499,0.406537,0.001452917,0.001308,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,0.440434925,0.396391,0.200079796,0.180072,1.0,1.0,1.0,1.0
81,1.0,1.0,1.0,1.0,0.370648474,0.333584,0.651101063,0.585991,1.0,1.0,1.0,1.0
82,1.0,1.0,1.0,1.0,0.311751594,0.280576,0.74822013,0.673398,1.0,1.0,1.0,1.0
83,1.0,1.0,1.0,1.0,0.290169735,0.261153,0.675685083,0.608117,1.0,1.0,1.0,1.0
84,1.0,1.0,1.0,1.0,0.285504536,0.256954,0.616821134,0.555139,1.0,1.0,1.0,1.0
85,1.0,1.0,1.0,1.0,0.29630291,0.266673,0.61277817,0.5515,1.0,1.0,1.0,1.0
86,1.0,1.0,1.0,1.0,0.316455845,0.28481,0.648374548,0.583537,1.0,1.0,1.0,1.0
87,1.0,1.0,1.0,1.0,0.328117524,0.295306,0.65896699,0.59307,1.0,1.0,1.0,1.0
88,1.0,1.0,1.0,1.0,0.356341935,0.320708,0.476333433,0.4287,1.0,1.0,1.0,1.0
89,1.0,1.0,1.0,1.0,0.470200676,0.423181,0.11098876,0.09989,1.0,1.0,1.0,1.0
90,1.0,1.0,1.0,1.0,0.560463736,0.504417,0.000144117,0.00013,1.0,1.0,1.0,1.0
91,1.0,1.0,1.0,1.0,0.593732373,0.534359,0.0,0.0,1.0,1.0,1.0,1.0
92,1.0,1.0,1.0,1.0,0.586803567,0.528123,0.0,0.0,1.0,1.0,1.0,1.0
93,1.0,1.0,1.0,1.0,0.58407097,0.525664,0.0,0.0,1.0,1.0,1.0,1.0
94,1.0,1.0,1.0,1.0,0.572210894,0.51499,0.0,0.0,1.0,1.0,1.0,1.0
95,1.0,1.0,1.0,1.0,0.556498695,0.500849,0.0,0.0,1.0,1.0,1.0,1.0
96,1.0,1.0,1.0,1.0,0.551550217,0.496395,0.0,0.0,1.0,1.0,1.0,1.0
97,1.0,1.0,1.0,1.0,0.548185989,0.493367,0.0,0.0,1.0,1.0,1.0,1.0
98,1.0,1.0,1.0,1.0,0.553980845,0.498583,0.0,0.0,1.0,1.0,1.0,1.0
99,1.0,1.0,1.0,1.0,0.56085308,0.504768,0.0,0.0,1.0,1.0,1.0,1.0
100,1.0,1.0,1.0,1.0,0.571208972,0.514088,0.0,0.0,1.0,1.0,1.0,1.0
101,1.0,1.0,1.0,1.0,0.582358135,0.524122,0.0,0.0,1.0,1.0,1.0,1.0
102,1.0,1.0,1.0,1.0,0.599278331,0.53935,0.0,0.0,1.0,1.0,1.0,1.0
103,1.0,1.0,1.0,1.0,0.619172083,0.557255,0.001399795,0.00126,1.0,1.0,1.0,1.0
104,1.0,1.0,1.0,1.0,0.604193638,0.543774,0.183539988,0.165186,1.0,1.0,1.0,1.0
105,1.0,1.0,1.0,1.0,0.505218141,0.454696,0.61234099,0.551107,1.0,1.0,1.0,1.0
106,1.0,1.0,1.0,1.0,0.435045003,0.391541,0.701052494,0.630947,1.0,1.0,1.0,1.0
107,1.0,1.0,1.0,1.0,0.424091156,0.381682,0.650586954,0.585528,1.0,1.0,1.0,1.0
108,1.0,1.0,1.0,1.0,0.433468391,0.390122,0.601589045,0.54143,1.0,1.0,1.0,1.0
109,1.0,1.0,1.0,1.0,0.441658424,0.397493,0.616056901,0.554451,1.0,1.0,1.0,1.0
110,1.0,1.0,1.0,1.0,0.442641443,0.398377,0.689437198,0.620493,1.0,1.0,1.0,1.0
111,1.0,1.0,1.0,1.0,0.430162033,0.387146,0.756640799,0.680977,1.0,1.0,1.0,1.0
112,1.0,1.0,1.0,1.0,0.419955733,0.37796,0.631845047,0.568661,1.0,1.0,1.0,1.0
113,1.0,1.0,1.0,1.0,0.527769276,0.474992,0.177758964,0.159983,1.0,1.0,1.0,1.0
114,1.0,1.0,1.0,1.0,0.626826724,0.564144,0.001685588,0.001517,1.0,1.0,1.0,1.0
115,1.0,1.0,1.0,1.0,0.670701959,0.603632,0.0,0.0,1.0,1.0,1.0,1.0
116,1.0,1.0,1.0,1.0,0.672792328,0.605513,0.0,0.0,1.0,1.0,1.0,1.0
117,1.0,1.0,1.0,1.0,0.646216876,0.581595,0.0,0.0,1.0,1.0,1.0,1.0
118,1.0,1.0,1.0,1.0,0.616341704,0.554708,0.0,0.0,1.0,1.0,1.0,1.0
119,1.0,1.0,1.0,1.0,0.589069714,0.530163,0.0,0.0,1.0,1.0,1.0,1.0
120,1.0,1.0,1.0,1.0,0.562243871,0.506019,0.0,0.0,1.0,1.0,1.0,1.0
121,1.0,1.0,1.0,1.0,0.477893568,0.430104,0.0,0.0,1.0,1.0,1.0,1.0
122,1.0,1.0,1.0,1.0,0.398526817,0.358674,0.0,0.0,1.0,1.0,1.0,1.0
123,1.0,1.0,1.0,1.0,0.328679927,0.295812,0.0,0.0,1.0,1.0,1.0,1.0
124,1.0,1.0,1.0,1.0,0.27414131,0.246727,0.0,0.0,1.0,1.0,1.0,1.0
125,1.0,1.0,1.0,1.0,0.2216369,0.199473,0.0,0.0,1.0,1.0,1.0,1.0
126,1.0,1.0,1.0,1.0,0.174635477,0.157172,0.0,0.0,1.0,1.0,1.0,1.0
127,1.0,1.0,1.0,1.0,0.162045951,0.145841,0.012753669,0.011478,1.0,1.0,1.0,1.0
128,1.0,1.0,1.0,1.0,0.159266888,0.14334,0.15647012,0.140823,1.0,1.0,1.0,1.0
129,1.0,1.0,1.0,1.0,0.152743409,0.137469,0.329389344,0.29645,1.0,1.0,1.0,1.0
130,1.0,1.0,1.0,1.0,0.199143025,0.179229,0.376768429,0.339092,1.0,1.0,1.0,1.0
131,1.0,1.0,1.0,1.0,0.263020832,0.236719,0.349601351,0.314641,1.0,1.0,1.0,1.0
132,1.0,1.0,1.0,1.0,0.330158636,0.297143,0.307804327,0.277024,1.0,1.0,1.0,1.0
133,1.0,1.0,1.0,1.0,0.394288242,0.354859,0.263422865,0.237081,1.0,1.0,1.0,1.0
134,1.0,1.0,1.0,1.0,0.442152066,0.397937,0.221726553,0.199554,1.0,1.0,1.0,1.0
135,1.0,1.0,1.0,1.0,0.485385425,0.436847,0.168731438,0.151858,1.0,1.0,1.0,1.0
136,1.0,1.0,1.0,1.0,0.532810672,0.47953,0.116009206,0.104408,1.0,1.0,1.0,1.0
137,1.0,1.0,1.0,1.0,0.598968707,0.539072,0.031250631,0.028126,1.0,1.0,1.0,1.0
138,1.0,1.0,1.0,1.0,0.616661252,0.554995,0.000967892,0.000871,1.0,1.0,1.0,1.0
139,1.0,1.0,1.0,1.0,0.629152367,0.566237,0.0,0.0,1.0,1.0,1.0,1.0
140,1.0,1.0,1.0,1.0,0.60165113,0.541486,0.0,0.0,1.0,1.0,1.0,1.0
141,1.0,1.0,1.0,1.0,0.600116739,0.540105,0.0,0.0,1.0,1.0,1.0,1.0
142,1.0,1.0,1.0,1.0,0.599173826,0.539256,0.0,0.0,1.0,1.0,1.0,1.0
143,1.0,1.0,1.0,1.0,0.600123891,0.540112,0.0,0.0,1.0,1.0,1.0,1.0
144,1.0,1.0,1.0,1.0,0.634696692,0.571227,0.0,0.0,1.0,1.0,1.0,1.0
145,1.0,1.0,1.0,1.0,0.89784385,0.808059,0.0,0.0,1.0,1.0,1.0,1.0
146,1.0,1.0,1.0,1.0,0.901713538,0.811542,0.0,0.0,1.0,1.0,1.0,1.0
147,1.0,1.0,1.0,1.0,0.905425685,0.814883,0.0,0.0,1.0,1.0,1.0,1.0
148,1.0,1.0,1.0,1.0,0.907145897,0.816431,0.0,0.0,1.0,1.0,1.0,1.0
149,1.0,1.0,1.0,1.0,0.907533718,0.81678,0.0,0.0,1.0,1.0,1.0,1.0
150,1.0,1.0,1.0,1.0,0.90855305,0.817698,0.0,0.0,1.0,1.0,1.0,1.0
151,1.0,1.0,1.0,1.0,0.901552048,0.811397,0.053555655,0.0482,1.0,1.0,1.0,1.0
152,1.0,1.0,1.0,1.0,0.898182099,0.808364,0.357402818,0.321663,1.0,1.0,1.0,1.0
153,1.0,1.0,1.0,1.0,0.902312702,0.812081,0.641347568,0.577213,1.0,1.0,1.0,1.0
154,1.0,1.0,1.0,1.0,0.896660022,0.806994,0.729978743,0.656981,1.0,1.0,1.0,1.0
155,1.0,1.0,1.0,1.0,0.901861273,0.811675,0.706246783,0.635622,1.0,1.0,1.0,1.0
156,1.0,1.0,1.0,1.0,0.923065013,0.830759,0.635913071,0.572322,1.0,1.0,1.0,1.0
157,1.0,1.0,1.0,1.0,0.937976927,0.844179,0.583354909,0.525019,1.0,1.0,1.0,1.0
158,1.0,1.0,1.0,1.0,0.943812585,0.849431,0.540353594,0.486318,1.0,1.0,1.0,1.0
159,1.0,1.0,1.0,1.0,0.948761863,0.853886,0.474499207,0.427049,1.0,1.0,1.0,1.0
160,1.0,1.0,1.0,1.0,0.937628949,0.843866,0.339045614,0.305141,1.0,1.0,1.0,1.0
161,1.0,1.0,1.0,1.0,0.930461537,0.837415,0.141807256,0.127627,1.0,1.0,1.0,1.0
162,1.0,1.0,1.0,1.0,0.918610523,0.826749,0.013234707,0.011911,1.0,1.0,1.0,1.0
163,1.0,1.0,1.0,1.0,0.904669243,0.814202,0.0,0.0,1.0,1.0,1.0,1.0
164,1.0,1.0,1.0,1.0,0.893048905,0.803744,0.0,0.0,1.0,1.0,1.0,1.0
165,1.0,1.0,1.0,1.0,0.894349308,0.804914,0.0,0.0,1.0,1.0,1.0,1.0
166,1.0,1.0,1.0,1.0,0.894149564,0.804735,0.0,0.0,1.0,1.0,1.0,1.0
167,1.0,1.0,1.0,1.0,0.901992091,0.811793,0.0,0.0,1.0,1.0,1.0,1.0
168,1.0,1.0,1.0,1.0,0.921323297,0.829191,0.0,0.0,1.0,1.0,1.0,1.0
169,1.0,1.0,1.0,1.0,0.711149425,0.640034,0.0,0.0,1.0,1.0,1.0,1.0
170,1.0,1.0,1.0,1.0,0.694738207,0.625264,0.0,0.0,1.0,1.0,1.0,1.0
171,1.0,1.0,1.0,1.0,0.680858569,0.612773,0.0,0.0,1.0,1.0,1.0,1.0
172,1.0,1.0,1.0,1.0,0.658090243,0.592281,0.0,0.0,1.0,1.0,1.0,1.0
173,1.0,1.0,1.0,1.0,0.626640805,0.563977,0.0,0.0,1.0,1.0,1.0,1.0
174,1.0,1.0,1.0,1.0,0.597576561,0.537819,0.000103,9.3e-05,1.0,1.0,1.0,1.0
175,1.0,1.0,1.0,1.0,0.555729252,0.500156,0.121999469,0.1098,1.0,1.0,1.0,1.0
176,1.0,1.0,1.0,1.0,0.440487993,0.396439,0.578165613,0.520349,1.0,1.0,1.0,1.0
177,1.0,1.0,1.0,1.0,0.303522048,0.27317,0.808559336,0.727703,1.0,1.0,1.0,1.0
178,1.0,1.0,1.0,1.0,0.216283678,0.194655,0.817797735,0.736018,1.0,1.0,1.0,1.0
179,1.0,1.0,1.0,1.0,0.181219863,0.163098,0.763983708,0.687585,1.0,1.0,1.0,1.0
180,1.0,1.0,1.0,1.0,0.167837792,0.151054,0.728808033,0.655927,1.0,1.0,1.0,1.0
181,1.0,1.0,1.0,1.0,0.155309228,0.139778,0.742474252,0.668227,1.0,1.0,1.0,1.0
182,1.0,1.0,1.0,1.0,0.139313771,0.125382,0.77628316,0.698655,1.0,1.0,1.0,1.0
183,1.0,1.0,1.0,1.0,0.113098101,0.101788,0.783955954,0.70556,1.0,1.0,1.0,1.0
184,1.0,1.0,1.0,1.0,0.09149439,0.082345,0.66475124,0.598276,1.0,1.0,1.0,1.0
185,1.0,1.0,1.0,1.0,0.095849942,0.086265,0.336755258,0.30308,1.0,1.0,1.0,1.0
186,1.0,1.0,1.0,1.0,0.127901482,0.115111,0.038490201,0.034641,1.0,1.0,1.0,1.0
187,1.0,1.0,1.0,1.0,0.167175953,0.150458,0.0,0.0,1.0,1.0,1.0,1.0
188,1.0,1.0,1.0,1.0,0.198967722,0.179071,0.0,0.0,1.0,1.0,1.0,1.0
189,1.0,1.0,1.0,1.0,0.241772328,0.217595,0.0,0.0,1.0,1.0,1.0,1.0
190,1.0,1.0,1.0,1.0,0.272580589,0.245323,0.0,0.0,1.0,1.0,1.0,1.0
191,1.0,1.0,1.0,1.0,0.292548891,0.263294,0.0,0.0,1.0,1.0,1.0,1.0
192,1.0,1.0,1.0,1.0,0.314378676,0.282941,0.0,0.0,1.0,1.0,1.0,1.0
193,1.0,1.0,1.0,1.0,0.575386975,0.517848,0.0,0.0,1.0,1.0,1.0,1.0
194,1.0,1.0,1.0,1.0,0.494074755,0.444667,0.0,0.0,1.0,1.0,1.0,1.0
195,1.0,1.0,1.0,1.0,0.409856959,0.368871,0.0,0.0,1.0,1.0,1.0,1.0
196,1.0,1.0,1.0,1.0,0.354605053,0.319145,0.0,0.0,1.0,1.0,1.0,1.0
197,1.0,1.0,1.0,1.0,0.324834524,0.292351,0.0,0.0,1.0,1.0,1.0,1.0
198,1.0,1.0,1.0,1.0,0.313870984,0.282484,0.006466159,0.00582,1.0,1.0,1.0,1.0
199,1.0,1.0,1.0,1.0,0.279869497,0.251883,0.139476703,0.125529,1.0,1.0,1.0,1.0
200,1.0,1.0,1.0,1.0,0.211217636,0.190096,0.404267318,0.363841,1.0,1.0,1.0,1.0
201,1.0,1.0,1.0,1.0,0.159507835,0.143557,0.544176023,0.489758,1.0,1.0,1.0,1.0
202,1.0,1.0,1.0,1.0,0.133957355,0.120562,0.592373788,0.533136,1.0,1.0,1.0,1.0
203,1.0,1.0,1.0,1.0,0.12162144,0.109459,0.604450165,0.544005,1.0,1.0,1.0,1.0
204,1.0,1.0,1.0,1.0,0.116182527,0.104564,0.610500829,0.549451,1.0,1.0,1.0,1.0
205,1.0,1.0,1.0,1.0,0.122011614,0.10981,0.596302936,0.536673,1.0,1.0,1.0,1.0
206,1.0,1.0,1.0,1.0,0.124001163,0.111601,0.577839908,0.520056,1.0,1.0,1.0,1.0
207,1.0,1.0,1.0,1.0,0.125212834,0.112692,0.525426976,0.472884,1.0,1.0,1.0,1.0
208,1.0,1.0,1.0,1.0,0.126511527,0.11386,0.408453495,0.367608,1.0,1.0,1.0,1.0
209,1.0,1.0,1.0,1.0,0.117633117,0.10587,0.216030411,0.194427,1.0,1.0,1.0,1.0
210,1.0,1.0,1.0,1.0,0.148953536,0.134058,0.042884204,0.038596,1.0,1.0,1.0,1.0
211,1.0,1.0,1.0,1.0,0.175943724,0.158349,1.1e-06,1e-06,1.0,1.0,1.0,1.0
212,1.0,1.0,1.0,1.0,0.172831341,0.155548,0.0,0.0,1.0,1.0,1.0,1.0
213,1.0,1.0,1.0,1.0,0.161286812,0.145158,0.0,0.0,1.0,1.0,1.0,1.0
214,1.0,1.0,1.0,1.0,0.14685537,0.13217,0.0,0.0,1.0,1.0,1.0,1.0
215,1.0,1.0,1.0,1.0,0.142043165,0.127839,0.0,0.0,1.0,1.0,1.0,1.0
216,1.0,1.0,1.0,1.0,0.147575235,0.132818,0.0,0.0,1.0,1.0,1.0,1.0
217,1.0,1.0,1.0,1.0,0.949470881,0.854524,0.0,0.0,1.0,1.0,1.0,1.0
218,1.0,1.0,1.0,1.0,0.938538932,0.844685,0.0,0.0,1.0,1.0,1.0,1.0
219,1.0,1.0,1.0,1.0,0.925336339,0.832803,0.0,0.0,1.0,1.0,1.0,1.0
220,1.0,1.0,1.0,1.0,0.91426724,0.822841,0.0,0.0,1.0,1.0,1.0,1.0
221,1.0,1.0,1.0,1.0,0.909714796,0.818743,0.0,0.0,1.0,1.0,1.0,1.0
222,1.0,1.0,1.0,1.0,0.901346494,0.811212,0.025106457,0.022596,1.0,1.0,1.0,1.0
223,1.0,1.0,1.0,1.0,0.898433974,0.808591,0.39645481,0.356809,1.0,1.0,1.0,1.0
224,1.0,1.0,1.0,1.0,0.908652446,0.817787,0.914954899,0.823459,1.0,1.0,1.0,1.0
225,1.0,1.0,1.0,1.0,0.910352609,0.819317,0.998608213,0.898747,1.0,1.0,1.0,1.0
226,1.0,1.0,1.0,1.0,0.908112126,0.817301,0.988403192,0.889563,1.0,1.0,1.0,1.0
227,1.0,1.0,1.0,1.0,0.901934938,0.811741,0.944388572,0.84995,1.0,1.0,1.0,1.0
228,1.0,1.0,1.0,1.0,0.890250506,0.801225,0.905973555,0.815376,1.0,1.0,1.0,1.0
229,1.0,1.0,1.0,1.0,0.865975121,0.779378,0.907974709,0.817177,1.0,1.0,1.0,1.0
230,1.0,1.0,1.0,1.0,0.832460593,0.749215,0.943438851,0.849095,1.0,1.0,1.0,1.0
231,1.0,1.0,1.0,1.0,0.780446107,0.702401,0.973870686,0.876484,1.0,1.0,1.0,1.0
232,1.0,1.0,1.0,1.0,0.715586982,0.644028,0.952613596,0.857352,1.0,1.0,1.0,1.0
233,1.0,1.0,1.0,1.0,0.62469921,0.562229,0.686325301,0.617693,1.0,1.0,1.0,1.0
234,1.0,1.0,1.0,1.0,0.579835619,0.521852,0.165165207,0.148649,1.0,1.0,1.0,1.0
235,1.0,1.0,1.0,1.0,0.608455677,0.54761,0.000684579,0.000616,1.0,1.0,1.0,1.0
236,1.0,1.0,1.0,1.0,0.559830256,0.503847,0.0,0.0,1.0,1.0,1.0,1.0
237,1.0,1.0,1.0,1.0,0.483445252,0.435101,0.0,0.0,1.0,1.0,1.0,1.0
238,1.0,1.0,1.0,1.0,0.389977211,0.350979,0.0,0.0,1.0,1.0,1.0,1.0
239,1.0,1.0,1.0,1.0,0.302023903,0.271822,0.0,0.0,1.0,1.0,1.0,1.0
240,1.0,1.0,1.0,1.0,0.2205278,0.198475,0.0,0.0,1.0,1.0,1.0,1.0
241,1.0,1.0,1.0,1.0,0.723820618,0.651439,0.0,0.0,1.0,1.0,1.0,1.0
242,1.0,1.0,1.0,1.0,0.665046219,0.598542,0.0,0.0,1.0,1.0,1.0,1.0
243,1.0,1.0,1.0,1.0,0.624884372,0.562396,0.0,0.0,1.0,1.0,1.0,1.0
