Time_Index,Gas,Gas turbine,Wind,Solar,Nuclear,Coal
1,1,1,0.763308138,0,1,1
2,1,1,0.750113883,0,1,1
3,1,1,0.729198684,0,1,1
4,1,1,0.694957807,0,1,1
5,1,1,0.664635076,0,1,1
6,1,1,0.652681994,0,1,1
7,1,1,0.654510032,0,1,1
8,1,1,0.656831793,0.033664686,1,1
9,1,1,0.685611835,0.269130372,1,1
10,1,1,0.710704834,0.423271241,1,1
11,1,1,0.73184699,0.405947109,1,1
12,1,1,0.753444744,0.385453311,1,1
13,1,1,0.783215495,0.415553129,1,1
14,1,1,0.810086679,0.49704918,1,1
15,1,1,0.832747843,0.510486648,1,1
16,1,1,0.843621487,0.215279193,1,1
17,1,1,0.839757786,0.00886383,1,1
18,1,1,0.848142109,0,1,1
19,1,1,0.847643654,0,1,1
20,1,1,0.840592293,0,1,1
21,1,1,0.835683266,0,1,1
22,1,1,0.815284137,0,1,1
23,1,1,0.792055638,0,1,1
24,1,1,0.776937487,0,1,1
25,1,1,0.820802607,0,1,1
26,1,1,0.789883522,0,1,1
27,1,1,0.753749588,0,1,1
28,1,1,0.711332189,0,1,1
29,1,1,0.665505007,0,1,1
30,1,1,0.624366282,0,1,1
31,1,1,0.586426221,0,1,1
32,1,1,0.539233604,0.012335571,1,1
33,1,1,0.440360849,0.111824686,1,1
34,1,1,0.305368134,0.211002772,1,1
35,1,1,0.225098663,0.228242764,1,1
36,1,1,0.191535356,0.219481193,1,1
37,1,1,0.188362075,0.192389489,1,1
38,1,1,0.224959976,0.157232283,1,1
39,1,1,0.308364926,0.117894895,1,1
40,1,1,0.44832671,0.059914694,1,1
41,1,1,0.592127681,0.005248365,1,1
42,1,1,0.686716827,0,1,1
43,1,1,0.741557399,0,1,1
44,1,1,0.789217585,0,1,1
45,1,1,0.818236909,0,1,1
46,1,1,0.833868817,0,1,1
47,1,1,0.842538233,0,1,1
48,1,1,0.835800587,0,1,1
49,1,1,0.294170387,0,1,1
50,1,1,0.268092116,0,1,1
51,1,1,0.250329322,0,1,1
52,1,1,0.242206213,0,1,1
53,1,1,0.249128385,0,1,1
54,1,1,0.263513149,0,1,1
55,1,1,0.27580273,0,1,1
56,1,1,0.282352269,0.045739849,1,1
57,1,1,0.270865607,0.20759727,1,1
58,1,1,0.23452846,0.318775797,1,1
59,1,1,0.205963703,0.377176797,1,1
60,1,1,0.18877602,0.388770769,1,1
61,1,1,0.189577132,0.397549377,1,1
62,1,1,0.209718966,0.402487708,1,1
63,1,1,0.24429384,0.369885403,1,1
64,1,1,0.312626048,0.214390889,1,1
65,1,1,0.393469348,0.037152369,1,1
66,1,1,0.435034757,0,1,1
67,1,1,0.459820986,0,1,1
68,1,1,0.469260262,0,1,1
69,1,1,0.481865898,0,1,1
70,1,1,0.4973409,0,1,1
71,1,1,0.516113785,0,1,1
72,1,1,0.530040292,0,1,1
73,1,1,0.538371818,0,1,1
74,1,1,0.546930869,0,1,1
75,1,1,0.566264207,0,1,1
76,1,1,0.582842102,0,1,1
77,1,1,0.596353147,0,1,1
78,1,1,0.616470543,0,1,1
79,1,1,0.640073688,0,1,1
80,1,1,0.6496946,0.017809861,1,1
81,1,1,0.6268748,0.097008163,1,1
82,1,1,0.585064356,0.157228805,1,1
83,1,1,0.53541501,0.179756511,1,1
84,1,1,0.515199522,0.190112869,1,1
85,1,1,0.51966112,0.211021305,1,1
86,1,1,0.52866782,0.257650999,1,1
87,1,1,0.56072644,0.308697439,1,1
88,1,1,0.574684158,0.252005158,1,1
89,1,1,0.604646466,0.05757524,1,1
90,1,1,0.639791997,0,1,1
91,1,1,0.650475154,0,1,1
92,1,1,0.662968887,0,1,1
93,1,1,0.662805768,0,1,1
94,1,1,0.640670289,0,1,1
95,1,1,0.617786434,0,1,1
96,1,1,0.59003929,0,1,1
97,1,1,0.575304016,0,1,1
98,1,1,0.538433387,0,1,1
99,1,1,0.505744956,0,1,1
100,1,1,0.453400951,0,1,1
101,1,1,0.394475254,0,1,1
102,1,1,0.355742412,0,1,1
103,1,1,0.333905566,1.37E-05,1,1
104,1,1,0.311722503,0.040167616,1,1
105,1,1,0.189466138,0.183103664,1,1
106,1,1,0.142179827,0.319193153,1,1
107,1,1,0.117916566,0.345323968,1,1
108,1,1,0.117340714,0.330485679,1,1
109,1,1,0.136567815,0.326342824,1,1
110,1,1,0.147979876,0.310705891,1,1
111,1,1,0.167872246,0.272429486,1,1
112,1,1,0.207551044,0.161130512,1,1
113,1,1,0.292386399,0.026703707,1,1
114,1,1,0.372990262,0,1,1
115,1,1,0.405543747,0,1,1
116,1,1,0.404972617,0,1,1
117,1,1,0.408190218,0,1,1
118,1,1,0.413194334,0,1,1
119,1,1,0.431937618,0,1,1
120,1,1,0.468269486,0,1,1
121,1,1,0.497165301,0,1,1
122,1,1,0.522988326,0,1,1
123,1,1,0.529077122,0,1,1
124,1,1,0.531289234,0,1,1
125,1,1,0.557011427,0,1,1
126,1,1,0.554112315,0,1,1
127,1,1,0.548185116,7.58E-05,1,1
128,1,1,0.519995662,0.124014985,1,1
129,1,1,0.449147759,0.500414998,1,1
130,1,1,0.426036621,0.632596702,1,1
131,1,1,0.428871321,0.589339624,1,1
132,1,1,0.433039381,0.543781003,1,1
133,1,1,0.447010852,0.541648913,1,1
